序号,题目名称,tags,difficulty
1,Combine Two Tables,join_outer;join_inner,Medium
2,Second Highest Salary,window_func;subquery_scalar,Hard
3,Nth Highest Salary,window_func;subquery_scalar,Hard
4,Rank Scores,window_func,Hard
5,Consecutive Numbers,window_func;join_self,Hard
6,Employees Earning More Than Their Managers,join_self,Hard
7,Duplicate Emails,having;group_by;aggregate_func,Hard
8,Customers Who Never Order,subquery_column;subquery_in;join_outer,Hard
9,Department Highest Salary,join_inner;where_basic,Medium
10,Department Top Three Salaries,window_func;group_by;aggregate_func,Hard
11,Delete Duplicate Emails,dml_delete;having;group_by,Hard
12,Rising Temperature,join_self;cast_func,Hard
13,Trips and Users,join_inner,Medium
14,Game Play Analysis I,group_by;aggregate_func;cast_func,Medium
15,Game Play Analysis II,group_by;aggregate_func;cast_func,Medium
16,Game Play Analysis III,group_by;aggregate_func;cast_func,Medium
17,Game Play Analysis IV,group_by;aggregate_func;cast_func,Medium
18,Median Employee Salary,window_func;subquery_table,Hard
19,Managers with at Least 5 Direct Reports,having;group_by;aggregate_func,Hard
20,Find Median Given Frequency of Numbers,window_func;subquery_table,Hard
21,Winning Candidate,join_inner,Medium
22,Employee Bonus,join_outer;join_inner;where_basic,Medium
23,Get Highest Answer Rate Question,subquery_scalar;group_by;aggregate_func,Medium
24,Find Cumulative Salary of an Employee,window_func;subquery_scalar,Hard
25,Count Student Number in Departments,join_inner;group_by;aggregate_func,Medium
26,Find Customer Referee,where_basic,Easy
27,Investments in 2016,join_inner;group_by;aggregate_func,Medium
28,Customer Placing the Largest Number of Orders,having;group_by;aggregate_func,Hard
29,Big Countries,where_basic,Easy
30,Classes With at Least 5 Students,having;group_by;aggregate_func,Hard
31,Friend Requests I: Overall Acceptance Rate,join_self;group_by;aggregate_func,Hard
32,Human Traffic of Stadium,subquery_table;join_inner;group_by,Hard
33,Friend Requests II: Who Has the Most Friends,join_self;group_by;aggregate_func,Hard
34,Consecutive Available Seats,window_func,Hard
35,Sales Person,join_outer;join_inner;where_basic,Medium
