序号,题目名称,tags,difficulty
1,SELECT（DML）,dml_select,Easy
2,INSERT,dml_insert,Easy
3,UPDATE,dml_update,Easy
4,DELETE,dml_delete,Easy
5,CREATE,ddl_create,Easy
6,ALTER,ddl_alter,Easy
7,DROP,ddl_drop,Easy
8,TRUNCATE,ddl_truncate,Easy
9,RENAME,ddl_rename,Easy
10,COMMENT,ddl_comment,Easy
11,字符串函数,string_func,Easy
12,数字函数,numeric_func,Easy
13,聚合函数,aggregate_func,Easy
14,转换函数,cast_func,Easy
15,窗口函数,window_func,Easy
16,内连接,join_inner,Easy
17,外连接,join_outer,Easy
18,自连接,join_self,Easy
19,交叉连接,join_cross,Easy
20,主键,constraint_primary_key,Easy
21,外键,constraint_foreign_key,Easy
22,标量子查询,subquery_scalar,Easy
23,列子查询,subquery_column,Easy
24,表子查询,subquery_table,Easy
25,IN 子查询,subquery_in,Easy
26,基本 SELECT：字段、别名、常量,select_basic,Easy
27,WHERE 条件筛选,where_basic,Easy
28,聚合函数与 GROUP BY,group_by,Easy
29,HAVING 子句,having,Easy
