knowledge_tag,difficulty_level
dml_select,бя
dml_insert,бя
dml_update,бя
dml_delete,бя
ddl_create,бя
ddl_alter,бябя
ddl_drop,бя
ddl_truncate,бя
ddl_rename,бя
ddl_comment,бя
string_func,бя
numeric_func,бя
aggregate_func,бябя
cast_func,бябя
window_func,бябябя
join_inner,бябя
join_outer,бябя
join_self,бябябя
join_cross,бябя
constraint_primary_key,бя
constraint_foreign_key,бябя
subquery_scalar,бябя
subquery_column,бябя
subquery_table,бябябя
subquery_in,бябябя
select_basic,бя
where_basic,бя
group_by,бябя
having,бябябя
